country,year,sex,age,suicides_no,population,HDI for year, gdp_for_year ($) 
Bahamas,1998,female,35-54 years,,36034,,6833220000
Bahamas,1998,female,5-14 years,,28660,,6833220000
Bahamas,1998,female,55-74 years,,14541,,6833220000
Bahamas,1998,female,75+ years,,3187,,6833220000
Bahamas,1998,male,15-24 years,,25619,,6833220000
Bahamas,1998,male,5-14 years,,29048,,6833220000
Bahamas,1998,male,55-74 years,,12140,,6833220000
Bahamas,1998,male,75+ years,,1939,,6833220000
Bahamas,1999,male,25-34 years,3,24557,,7683870000
Bahamas,1999,female,25-34 years,1,25368,,7683870000
Bahamas,1999,male,15-24 years,1,25536,,7683870000
Bahamas,1999,male,35-54 years,1,34691,,7683870000
Bahamas,1999,female,15-24 years,,25625,,7683870000
Bahamas,1999,female,35-54 years,,37759,,7683870000
Bahamas,1999,female,5-14 years,,29048,,7683870000
Bahamas,1999,female,55-74 years,,14983,,7683870000
Bahamas,1999,female,75+ years,,3335,,7683870000
Bahamas,1999,male,5-14 years,,29327,,7683870000
Bahamas,1999,male,55-74 years,,12526,,7683870000
Bahamas,1999,male,75+ years,,2036,,7683870000
Bahamas,2000,male,25-34 years,4,24338,0.778,8076470000
Bahamas,2000,male,35-54 years,5,36060,0.778,8076470000
Bahamas,2000,female,55-74 years,1,15459,0.778,8076470000
Bahamas,2000,female,15-24 years,1,25774,0.778,8076470000
Bahamas,2000,female,25-34 years,,25314,0.778,8076470000
Bahamas,2000,female,35-54 years,,39420,0.778,8076470000
Bahamas,2000,female,5-14 years,,29453,0.778,8076470000
Bahamas,2000,female,75+ years,,3494,0.778,8076470000
Bahamas,2000,male,15-24 years,,25606,0.778,8076470000
Bahamas,2000,male,5-14 years,,29702,0.778,8076470000
Bahamas,2000,male,55-74 years,,12981,0.778,8076470000
Bahamas,2000,male,75+ years,,2137,0.778,8076470000
Bahamas,2001,male,35-54 years,1,37335,,8317830000
Bahamas,2001,female,15-24 years,,26565,,8317830000
Bahamas,2001,female,25-34 years,,25447,,8317830000
Bahamas,2001,female,35-54 years,,40803,,8317830000
Bahamas,2001,female,5-14 years,,29545,,8317830000
Bahamas,2001,female,55-74 years,,16236,,8317830000
Bahamas,2001,female,75+ years,,3680,,8317830000
Bahamas,2001,male,15-24 years,,26361,,8317830000
Bahamas,2001,male,25-34 years,,24515,,8317830000
Bahamas,2001,male,5-14 years,,29815,,8317830000
Bahamas,2001,male,55-74 years,,13606,,8317830000
Bahamas,2001,male,75+ years,,2232,,8317830000
Bahamas,2002,male,15-24 years,2,27106,,8881160000
Bahamas,2002,male,35-54 years,1,38667,,8881160000
Bahamas,2002,female,15-24 years,,27307,,8881160000
Bahamas,2002,female,25-34 years,,25644,,8881160000
Bahamas,2002,female,35-54 years,,42134,,8881160000
Bahamas,2002,female,5-14 years,,29453,,8881160000
Bahamas,2002,female,55-74 years,,17111,,8881160000
Bahamas,2002,female,75+ years,,3880,,8881160000
Bahamas,2002,male,25-34 years,,24798,,8881160000
Bahamas,2002,male,5-14 years,,29792,,8881160000
Bahamas,2002,male,55-74 years,,14336,,8881160000
Bahamas,2002,male,75+ years,,2327,,8881160000
Bahamas,2003,male,35-54 years,1,40113,,8870090000
Bahamas,2003,female,15-24 years,,27919,,8870090000
Bahamas,2003,female,25-34 years,,25941,,8870090000
Bahamas,2003,female,35-54 years,,43511,,8870090000
Bahamas,2003,female,5-14 years,,29130,,8870090000
Bahamas,2003,female,55-74 years,,18079,,8870090000
Bahamas,2003,female,75+ years,,4092,,8870090000
Bahamas,2003,male,15-24 years,,27766,,8870090000
Bahamas,2003,male,25-34 years,,25200,,8870090000
Bahamas,2003,male,5-14 years,,29553,,8870090000
Bahamas,2003,male,55-74 years,,15166,,8870090000
Bahamas,2003,male,75+ years,,2418,,8870090000
Bahamas,2004,male,15-24 years,1,28309,,9055290000
Bahamas,2004,male,35-54 years,1,41662,,9055290000
Bahamas,2004,female,15-24 years,,28385,,9055290000
Bahamas,2004,female,25-34 years,,26367,,9055290000
Bahamas,2004,female,35-54 years,,44948,,9055290000
Bahamas,2004,female,5-14 years,,28634,,9055290000
Bahamas,2004,female,55-74 years,,19143,,9055290000
Bahamas,2004,female,75+ years,,4327,,9055290000
Bahamas,2004,male,25-34 years,,25733,,9055290000
Bahamas,2004,male,5-14 years,,29136,,9055290000
Bahamas,2004,male,55-74 years,,16082,,9055290000
Bahamas,2004,male,75+ years,,2511,,9055290000
Bahamas,2005,male,25-34 years,1,26366,0.78,9836200000
Bahamas,2005,female,25-34 years,1,26917,0.78,9836200000
Bahamas,2005,male,5-14 years,1,28690,0.78,9836200000
Bahamas,2005,male,35-54 years,1,43193,0.78,9836200000
Bahamas,2005,female,15-24 years,,28757,0.78,9836200000
Bahamas,2005,female,35-54 years,,46362,0.78,9836200000
Bahamas,2005,female,5-14 years,,28118,0.78,9836200000
Bahamas,2005,female,55-74 years,,20307,0.78,9836200000
Bahamas,2005,female,75+ years,,4589,0.78,9836200000
Bahamas,2005,male,15-24 years,,28762,0.78,9836200000
Bahamas,2005,male,55-74 years,,17085,0.78,9836200000
Bahamas,2005,male,75+ years,,2617,0.78,9836200000
Bahamas,2006,male,15-24 years,1,29472,,10167250000
Bahamas,2006,male,35-54 years,1,44490,,10167250000
Bahamas,2006,female,15-24 years,,29420,,10167250000
Bahamas,2006,female,25-34 years,,27172,,10167250000
Bahamas,2006,female,35-54 years,,47679,,10167250000
Bahamas,2006,female,5-14 years,,28256,,10167250000
Bahamas,2006,female,55-74 years,,21081,,10167250000
Bahamas,2006,female,75+ years,,4817,,10167250000
Bahamas,2006,male,25-34 years,,26713,,10167250000
Bahamas,2006,male,5-14 years,,28912,,10167250000
Bahamas,2006,male,55-74 years,,17743,,10167250000
Bahamas,2006,male,75+ years,,2744,,10167250000
Bahamas,2007,male,35-54 years,2,45790,,10618340000
Bahamas,2007,male,25-34 years,1,27047,,10618340000
Bahamas,2007,male,15-24 years,1,30182,,10618340000
Bahamas,2007,female,35-54 years,1,48976,,10618340000
Bahamas,2007,female,15-24 years,,30101,,10618340000
Bahamas,2007,female,25-34 years,,27419,,10618340000
Bahamas,2007,female,5-14 years,,28225,,10618340000
Bahamas,2007,female,55-74 years,,21936,,10618340000
Bahamas,2007,female,75+ years,,5046,,10618340000
Bahamas,2007,male,5-14 years,,28953,,10618340000
Bahamas,2007,male,55-74 years,,18460,,10618340000
Bahamas,2007,male,75+ years,,2854,,10618340000
Bahamas,2008,male,25-34 years,1,27416,,10526000000
Bahamas,2008,male,5-14 years,1,28759,,10526000000
Bahamas,2008,male,15-24 years,1,30842,,10526000000
Bahamas,2008,male,35-54 years,1,47227,,10526000000
Bahamas,2008,female,15-24 years,,30739,,10526000000
Bahamas,2008,female,25-34 years,,27705,,10526000000
