,country,year,sex,age,suicide_no,pop,HDI,gdp_for_year
92,Albania,1996,male,55-74 years,3,179900,,3314898292
93,Albania,1996,female,55-74 years,1,183100,,3314898292
94,Albania,1996,male, 5-14 years,2,380400,,3314898292
95,Albania,1996,female, 5-14 years,1,354100,,3314898292
96,Albania,1997,male,25-34 years,36,236000,,2359903108
97,Albania,1997,male,15-24 years,33,244400,,2359903108
98,Albania,1997,male,75+ years,3,25400,,2359903108
99,Albania,1997,male,35-54 years,3,380800,,2359903108
100,Albania,1997,female,15-24 years,21,294000,,2359903108
101,Albania,1997,male,55-74 years,12,180300,,2359903108
102,Albania,1997,female,25-34 years,16,273900,,2359903108
103,Albania,1997,female,75+ years,2,42100,,2359903108
104,Albania,1997,female,35-54 years,7,370100,,2359903108
105,Albania,1997,female, 5-14 years,6,361800,,2359903108
106,Albania,1997,male, 5-14 years,4,381500,,2359903108
107,Albania,1997,female,55-74 years,0,187000,,2359903108
108,Albania,1998,male,75+ years,3,25800,,2707123772
109,Albania,1998,male,15-24 years,27,248800,,2707123772
110,Albania,1998,female,15-24 years,32,295600,,2707123772
111,Albania,1998,male,25-34 years,26,240400,,2707123772
112,Albania,1998,male,35-54 years,29,388200,,2707123772
113,Albania,1998,male,55-74 years,9,183800,,2707123772
114,Albania,1998,female,25-34 years,1,275300,,2707123772
115,Albania,1998,female,55-74 years,6,188200,,2707123772
116,Albania,1998,female,35-54 years,9,372100,,2707123772
117,Albania,1998,male, 5-14 years,2,388400,,2707123772
118,Albania,1998,female, 5-14 years,1,363800,,2707123772
119,Albania,1998,female,75+ years,0,42300,,2707123772
120,Albania,1999,male,75+ years,3,25900,,3414760915
121,Albania,1999,male,15-24 years,24,250600,,3414760915
122,Albania,1999,female,75+ years,4,42400,,3414760915
123,Albania,1999,male,35-54 years,31,391100,,3414760915
124,Albania,1999,male,25-34 years,19,242300,,3414760915
125,Albania,1999,male,55-74 years,14,185200,,3414760915
126,Albania,1999,female,15-24 years,19,296800,,3414760915
127,Albania,1999,female,25-34 years,13,276500,,3414760915
128,Albania,1999,female,55-74 years,6,188800,,3414760915
129,Albania,1999,female,35-54 years,5,373600,,3414760915
130,Albania,1999,female, 5-14 years,1,365200,,3414760915
131,Albania,1999,male, 5-14 years,0,391300,,3414760915
132,Albania,2000,male,25-34 years,17,232000,0.656,3632043908
133,Albania,2000,male,55-74 years,1,177400,0.656,3632043908
134,Albania,2000,female,75+ years,2,37800,0.656,3632043908
135,Albania,2000,male,75+ years,1,24900,0.656,3632043908
136,Albania,2000,female,15-24 years,6,263900,0.656,3632043908
137,Albania,2000,male,15-24 years,5,240000,0.656,3632043908
138,Albania,2000,female,35-54 years,5,332200,0.656,3632043908
139,Albania,2000,female,25-34 years,3,245800,0.656,3632043908
140,Albania,2000,male,35-54 years,4,374700,0.656,3632043908
141,Albania,2000,male, 5-14 years,1,374900,0.656,3632043908
142,Albania,2000,female, 5-14 years,0,324700,0.656,3632043908
143,Albania,2000,female,55-74 years,0,168000,0.656,3632043908
144,Albania,2001,male,25-34 years,22,206484,,4060758804
145,Albania,2001,male,35-54 years,34,378826,,4060758804
146,Albania,2001,male,55-74 years,11,196670,,4060758804
147,Albania,2001,female,75+ years,2,47254,,4060758804
148,Albania,2001,male,15-24 years,1,256039,,4060758804
149,Albania,2001,female,15-24 years,9,271359,,4060758804
150,Albania,2001,female,35-54 years,12,370191,,4060758804
151,Albania,2001,male,75+ years,1,31044,,4060758804
152,Albania,2001,female,55-74 years,6,189799,,4060758804
153,Albania,2001,male, 5-14 years,6,321556,,4060758804
154,Albania,2001,female,25-34 years,4,222771,,4060758804
155,Albania,2001,female, 5-14 years,2,307356,,4060758804
156,Albania,2002,male,75+ years,4,31007,,4435078648
157,Albania,2002,male,25-34 years,23,206286,,4435078648
158,Albania,2002,male,35-54 years,35,382139,,4435078648
159,Albania,2002,male,55-74 years,13,198130,,4435078648
160,Albania,2002,male,15-24 years,15,263067,,4435078648
161,Albania,2002,female,15-24 years,14,275970,,4435078648
162,Albania,2002,female,35-54 years,15,375113,,4435078648
163,Albania,2002,female,25-34 years,7,223685,,4435078648
164,Albania,2002,female,75+ years,1,47407,,4435078648
165,Albania,2002,female,55-74 years,4,191712,,4435078648
166,Albania,2002,female, 5-14 years,1,304850,,4435078648
167,Albania,2002,male, 5-14 years,1,319473,,4435078648
168,Albania,2003,female,75+ years,6,49088,,5746945913
169,Albania,2003,male,55-74 years,16,201520,,5746945913
170,Albania,2003,male,35-54 years,28,386196,,5746945913
171,Albania,2003,male,15-24 years,15,273235,,5746945913
172,Albania,2003,female,15-24 years,14,283709,,5746945913
173,Albania,2003,female,55-74 years,9,195699,,5746945913
174,Albania,2003,male,25-34 years,9,205433,,5746945913
175,Albania,2003,female,25-34 years,9,222941,,5746945913
176,Albania,2003,female,35-54 years,13,381760,,5746945913
177,Albania,2003,male,75+ years,1,32667,,5746945913
178,Albania,2003,male, 5-14 years,4,313204,,5746945913
179,Albania,2003,female, 5-14 years,0,298477,,5746945913
180,Albania,2004,male,75+ years,4,35526,,7314865176
181,Albania,2004,male,35-54 years,39,391767,,7314865176
182,Albania,2004,male,25-34 years,16,203938,,7314865176
183,Albania,2004,female,15-24 years,2,292268,,7314865176
184,Albania,2004,male,15-24 years,19,286768,,7314865176
185,Albania,2004,female,75+ years,3,50970,,7314865176
186,Albania,2004,female,25-34 years,11,222389,,7314865176
187,Albania,2004,male,55-74 years,1,207202,,7314865176
188,Albania,2004,female,35-54 years,17,391436,,7314865176
189,Albania,2004,female,55-74 years,3,203841,,7314865176
190,Albania,2004,female, 5-14 years,3,286705,,7314865176
191,Albania,2004,male, 5-14 years,1,302181,,7314865176
192,Albania,2005,female,15-24 years,0,281922,0.695,8158548717
193,Albania,2005,female,25-34 years,0,190745,0.695,8158548717
194,Albania,2005,female,35-54 years,0,386513,0.695,8158548717
195,Albania,2005,female, 5-14 years,0,276559,0.695,8158548717
196,Albania,2005,female,55-74 years,0,210998,0.695,8158548717
197,Albania,2005,female,75+ years,0,53191,0.695,8158548717
198,Albania,2005,male,15-24 years,0,281675,0.695,8158548717
199,Albania,2005,male,25-34 years,0,177519,0.695,8158548717
200,Albania,2005,male,35-54 years,0,380242,0.695,8158548717
201,Albania,2005,male, 5-14 years,0,291367,0.695,8158548717
202,Albania,2005,male,55-74 years,0,214118,0.695,8158548717
